surovina_en;surovina_sk;dostupnost_sk;nahrada;poznamka_pomer;pocet_receptov_v_themealdb
plain flour;hladká múka;bežne;—;priamy ekvivalent;74
coriander;koriander čerstvý;nie vždy;petržlenová vňať + štipka mletého koriandra;chuť sa len priblíži;69
spring onions;jarná cibuľka;bežne;—;priamy ekvivalent;69
caster sugar;krupicový cukor;bežne;—;priamy ekvivalent;64
all purpose flour;hladká múka;bežne;—;priamy ekvivalent;47
cornstarch;kukuričný škrob;bežne;—;POZOR: Solamyl je zemiakový, na omáčky OK, na pečenie nie;40
fish sauce;rybacia omáčka;ázijské obchody, väčšie Tesco/Kaufland;sójová omáčka + štipka soli;chuť nebude rovnaká, ale funguje;36
double cream;smotana 48 %;nedostupné;smotana na šľahanie 33 % + 1 PL masla na 100 ml;alebo 33 % zredukovať o štvrtinu;34
icing sugar;práškový cukor;bežne;—;priamy ekvivalent;27
shallots;šalotka;väčšie reťazce;malá cibuľa;jemnejšia chuť;26
cilantro;koriander čerstvý;nie vždy;petržlenová vňať;chuť sa len priblíži;24
sesame seed oil;sezamový olej;bežne;—;priamy ekvivalent;24
greek yogurt;grécky jogurt;bežne;biely jogurt odkvapkaný cez plátno;2 h odkvapkávania;22
sour cream;kyslá smotana;bežne;—;priamy ekvivalent;22
self-raising flour;polohrubá múka s kypriacim;nedostupné ako produkt;hladká múka + prášok do pečiva;na 150 g múky 2 ČL PDP + štipka soli;21
heavy cream;smotana 36–40 %;nedostupné;smotana na šľahanie 33 %;1:1, o niečo redšie;18
scallions;jarná cibuľka;bežne;—;priamy ekvivalent;18
scotch bonnet;scotch bonnet;nedostupné;habanero alebo čili;extrémne ostré, dávkuj opatrne;16
corn flour;kukuričný škrob;bežne;—;nie kukuričná múka na polentu;15
kosher salt;hrubá soľ;bežne;hrubozrnná morská soľ;pri objemovom meraní dávaj o tretinu menej jemnej;15
parmesan;parmezán;bežne;Grana Padano;lacnejší, mierne jemnejší;15
lamb;jahňacie;obmedzene, drahé;bravčové plece alebo hovädzie;chuť bude jemnejšia;14
rice noodles;ryžové rezance;bežne;—;priamy ekvivalent;14
tinned tomatos;paradajky v konzerve;bežne;—;priamy ekvivalent;14
granulated sugar;kryštálový cukor;bežne;—;priamy ekvivalent;13
muscovado sugar;tmavý trstinový cukor;väčšie reťazce;hnedý trstinový cukor;1:1;13
rice vinegar;ryžový ocot;väčšie reťazce;jablčný ocot zriedený vodou 3:1;menej sladký;13
aubergine;baklažán;bežne;—;priamy ekvivalent;12
chopped tomatoes;krájané paradajky v konzerve;bežne;—;priamy ekvivalent;12
creme fraiche;créme fraiche;špecializované;kyslá smotana 16 %;"1:1; kyslá smotana sa skôr zrazí, pridávaj mimo varu";12
feta;feta;bežne;balkánsky syr;lacnejší, slanší;12
saffron;šafran;drahý, v malých baleniach;kurkuma na farbu + štipka šafranu;kurkuma nedá arómu;12
condensed milk;kondenzované sladené mlieko;bežne;Salko;priamy ekvivalent;11
oyster sauce;ustricová omáčka;ázijské obchody;sójová omáčka + 1 ČL cukru na PL;1:1;11
courgettes;cuketa;bežne;—;priamy ekvivalent;10
hotsauce;ostrá omáčka;bežne;Tabasco alebo sriracha;podľa chuti;10
puff pastry;lístkové cesto;bežne mrazené;—;priamy ekvivalent;10
cheddar cheese;čedar;väčšie reťazce;eidam + trochu parmezánu;farba bude bledšia;9
clear honey;tekutý med;bežne;—;priamy ekvivalent;9
dry sherry;suché sherry;špecializované;suché biele víno + kvapka brandy;1:1;9
egg plants;baklažán;bežne;—;priamy ekvivalent;9
jasmine rice;jazmínová ryža;bežne;—;priamy ekvivalent;9
lamb mince;mleté jahňacie;ťažko dostupné;mleté hovädzie + trocha bravčového;1:1;9
powdered sugar;práškový cukor;bežne;—;priamy ekvivalent;9
thai red curry paste;thajská červená kari pasta;väčšie reťazce;—;Kaufland/Tesco ju bežne majú;9
chicken stock cube;kurací bujón;bežne;—;priamy ekvivalent;8
coriander leaves;koriander čerstvý;nie vždy;petržlenová vňať;chuť sa len priblíži;8
dulce de leche;karamelizované kondenzované mlieko;špecializované;Salko varené 3 h vo vode;alebo hotové Salko Karamel;8
harissa spice;harissa;špecializované;sladká paprika + čili + rasca + cesnak;2:1:1:1;8
parmesan cheese;parmezán;bežne;Grana Padano;lacnejší;8
raw king prawns;surové veľké krevety;mrazené;—;kupuj surové, nie varené;8
squid;kalmáre;väčšie reťazce, mrazené;—;priamy ekvivalent;8
bicarbonate of soda;sóda bikarbóna;bežne;—;jedlá sóda, nie prášok do pečiva;7
black beans;čierna fazuľa;väčšie reťazce;fazuľa červená alebo pinto;1:1;7
cannellini beans;fazuľa cannellini;väčšie reťazce;biela fazuľa v konzerve;1:1;7
challots;šalotka;väčšie reťazce;malá cibuľa;1 šalotka = 1/2 malej cibule;7
golden caster sugar;trstinový krupicový cukor;väčšie reťazce;krupicový cukor;farba bude svetlejšia;7
lard;masť;bežne;—;priamy ekvivalent;7
orange blossom water;pomarančová voda;špecializované;kôra z pomaranča;na 1 ČL vody kôra z 1/2 pomaranča;7
pine nuts;píniové oriešky;bežne, drahé;opražené slnečnicové semienka;1:1, lacnejšie;7
rapeseed oil;repkový olej;bežne;—;priamy ekvivalent;7
rocket;rukola;bežne;—;priamy ekvivalent;7
sherry vinegar;sherry ocot;špecializované;červený vínny ocot;1:1;7
vegetable stock cube;zeleninový bujón;bežne;—;priamy ekvivalent;7
beef brisket;hovädzia hruď;u mäsiara;hovädzie predné/krk;1:1, dusiť dlhšie;6
black treacle;melasa;špecializované;tmavý trstinový sirup alebo melasa z bio predajne;1:1;6
golden syrup;svetlý invertný sirup;špecializované;med alebo glukózovo-fruktózový sirup;"1:1; med pridá vlastnú chuť";6
lamb leg;jahňacie stehno;na objednávku u mäsiara;bravčové stehno;dlhší čas pečenia;6
