id;nazov;kategoria;verdikt;dovod;navrh_nahrady
4-x-fazula;4 x fazuľa;Polievka;VYHODIT;"Názov nie je jedlo (začína počítadlom): ""4 x fazuľa""";
adzuki-salat;Adzuki šalát;Šalát;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Fazuľa adzuki', 'Čierne mleté korenien';
ajapsandali-s-masovymi-gulockami;Ajapsandali s mäsovými guľôčkami;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 803 znakov, 16 % ingrediencií bez množstva);
americke-cookies-plnene-nutellou;Americké cookies plnené Nutellou;Snack;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 975 znakov, 0 % ingrediencií bez množstva);
ananasovy-nakyp;Ananásový nákyp;Cestoviny;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Široké rezance', 'Kandizované čerešne';
anglicke-velkonocne-judasky;Anglické veľkonočné judášky;Raňajky;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Roztopený med', 'Kôra citrónová a pomarančová', 'Zmes korenia mletého kardamónu';
apple-galette;Apple Galette;Snack;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (7 krokov / 2141 znakov, 17 % ingrediencií bez množstva);
argentinska-pochutka;Argentínska pochúťka;Hlavné jedlo;VYHODIT;"Názov nie je jedlo (marketingové slovo namiesto jedla): ""Argentínska pochúťka""";
avokadova-natierka-s-limetkou;Avokádová nátierka s limetkou;Nátierka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 524 znakov, 29 % ingrediencií bez množstva);
avokadovo-bananovy-jogurt-na-ranajkovu-pohodu;Avokádovo-banánový jogurt na raňajkovú pohodu;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 334 znakov, 29 % ingrediencií bez množstva);
avokadovo-cicerova-natierka;Avokádovo-cícerová nátierka;Nátierka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 593 znakov, 25 % ingrediencií bez množstva);
avokadovo-uhorkova-natierka;Avokádovo-uhorková nátierka;Nátierka;VYHODIT;44 % ingrediencií (4/9) bez množstva – plánovač neurčí výživu ani nákup;
avokadovo-vajickovy-salat-na-ranajky;Avokádovo-vaječný šalát na raňajky;Raňajky;VYHODIT;"Slabý postup (4 krokov, 293 znakov; medián DB je 689)";
avokadovy-dip;Avokádový dip;Raňajky;VYHODIT;"Slabý postup (3 krokov, 140 znakov; medián DB je 689); 40 % ingrediencií (2/5) bez množstva – plánovač neurčí výživu ani nákup";
avokadovy-salat-s-krevetami;Avokádový šalát s krevetami;Šalát;VYHODIT;"38 % ingrediencií (5/13) bez množstva – plánovač neurčí výživu ani nákup; 3 surovín s výskytom najviac 2× v celej DB: 'Lúpané pražené tekvicové jadierka', 'Mango sweet chilli souce', 'Klasické maslo'";
avokadovy-salat-s-kuracim-masom;Avokádový šalát s kuracím mäsom;Šalát;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Friseé šalát', 'Čili paprička veľká';
azijske-kurca-s-kesu-orieskami;Ázijské kurča s kešu orieškami;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 662 znakov, 0 % ingrediencií bez množstva);
azijske-rezance-s-tofu;Ázijské rezance s tofu;Cestoviny;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 880 znakov, 7 % ingrediencií bez množstva);
azijsky-cestovinovy-salat-s-arasidovou-omackou;Ázijský cestovinový šalát s arašidovou omáčkou;Cestoviny;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 321 znakov, 20 % ingrediencií bez množstva);
azijsky-kuraci-salat;Ázijský kurací šalát;Šalát;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Kukurica klásková v sladko-kyslom náleve', 'Sójové klíčky sterilizované', 'Oranžová paprika';
aztecka-polievka-sopa-azteca;Aztécka polievka (Sopa Azteca);Polievka;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Kukuričná tortilla', 'Chile pasilla', 'Epazote';
babovka-mravenisko;Bábovka Mravenisko;Raňajky;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Čokoládová ryža', 'Čokoládová ryža', 'Ryža čokoládová biela';
babovka-s-mascarpone;Bábovka s mascarpone;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 595 znakov, 12 % ingrediencií bez množstva);
