surovina_en;surovina_sk;pocet_receptov;naparuje_sa_na_kluc;oddelenie;kcal_100g;zdroj_zaznamu
salt;soľ;242;soľ;Korenie a bylinky;0;existujuci
garlic;cesnak;171;cesnak;Zelenina a ovocie;149;existujuci
onion;cibuľa;155;cibuľa;Zelenina a ovocie;40;existujuci
olive oil;olivový olej;138;olivový olej;Oleje a tuky;884;existujuci
butter;maslo;109;maslo;Mliečne a vajcia;717;existujuci
sugar;cukor;104;cukor;Pečenie a sladké;400;existujuci
water;voda;98;voda;Ostatné;0;existujuci
vegetable oil;rastlinný olej;95;rastlinný olej;Oleje a tuky;884;existujuci
egg;vajcia;81;vajc;Mliečne a vajcia;155;existujuci
milk;mlieko;80;mlieko;Mliečne a vajcia;64;existujuci
eggs;vajcia;79;vajc;Mliečne a vajcia;155;existujuci
pepper;čierne korenie;77;korenie;Korenie a bylinky;0;existujuci
flour;hladká múka;74;múka;Pečenie a sladké;364;existujuci
parsley;petržlenová vňať;71;petržlen;Zelenina a ovocie;36;existujuci
potatoes;zemiaky;67;zemiak;Zelenina a ovocie;77;existujuci
carrots;mrkva;65;mrkva;Zelenina a ovocie;41;existujuci
black pepper;čierne korenie;56;korenie;Korenie a bylinky;0;existujuci
soy sauce;sójová omáčka;48;sójová omáčka;Omáčky a dochucovadlá;60;existujuci
red pepper;červená paprika;47;červená paprika;Zelenina a ovocie;31;existujuci
spring onions;jarná cibuľka;46;jarná cibuľka;Zelenina a ovocie;32;existujuci
paprika;mletá paprika;45;mletá paprika;Korenie a bylinky;282;existujuci
baking powder;prášok do pečiva;43;prášok do pečiva;Pečenie a sladké;60;existujuci
red chilli;chilli paprička;43;chilli paprička;Zelenina a ovocie;40;existujuci
lime;limetka;42;limetk;Zelenina a ovocie;30;existujuci
garlic clove;cesnak;41;cesnak;Zelenina a ovocie;149;existujuci
coriander;koriander;41;koriander;Korenie a bylinky;23;existujuci
tomato puree;paradajkový pretlak;41;paradajkový pretlak;Trvanlivé a konzervy;82;existujuci
plain flour;hladká múka;40;múka;Pečenie a sladké;364;existujuci
lemon;citrón;40;citrón;Zelenina a ovocie;29;existujuci
oil;olej;39;olej;Oleje a tuky;884;existujuci
ginger;zázvor;38;zázvor;Zelenina a ovocie;80;existujuci
tomato;paradajka;37;paradajk;Zelenina a ovocie;18;existujuci
all purpose flour;hladká múka;34;múka;Pečenie a sladké;364;existujuci
cinnamon;škorica;33;škorica;Korenie a bylinky;247;existujuci
brown sugar;hnedý cukor;33;hnedý cukor;Pečenie a sladké;380;existujuci
thyme;tymian;32;tymian;Korenie a bylinky;101;existujuci
bay leaf;bobkový list;31;bobkový list;Korenie a bylinky;313;existujuci
caster sugar;krupicový cukor;31;cukor;Pečenie a sladké;400;existujuci
coconut milk;kokosové mlieko;30;kokosové mlieko;Trvanlivé a konzervy;197;existujuci
chicken stock;kurací vývar;30;vývar;Ostatné;4;existujuci
cumin;rasca;29;rasca;Korenie a bylinky;375;existujuci
red onions;červená cibuľa;28;cibuľa;Zelenina a ovocie;40;existujuci
beef;hovädzie;27;hovädzie;Mäso a ryby;250;existujuci
vanilla extract;vanilkový extrakt;25;vanilkový extrakt;Korenie a bylinky;288;existujuci
unsalted butter;maslo;25;maslo;Mliečne a vajcia;717;existujuci
beef stock;hovädzí vývar;24;vývar;Ostatné;4;existujuci
ground cumin;mletá rasca;24;rasca;Korenie a bylinky;375;existujuci
sunflower oil;slnečnicový olej;23;olej;Oleje a tuky;884;existujuci
bacon;slanina;22;slanin;Mäso a ryby;500;existujuci
yeast;droždie;22;droždie;Pečenie a sladké;325;existujuci
lemon juice;citrónová šťava;22;citrón;Zelenina a ovocie;29;existujuci
rice;ryža;22;ryža;Cestoviny a ryža;360;existujuci
fish sauce;rybia omáčka;21;rybia omáčka;Omáčky a dochucovadlá;35;existujuci
mint;mäta;21;mäta;Zelenina a ovocie;44;existujuci
cucumber;uhorka;21;uhorka;Zelenina a ovocie;15;existujuci
celery;zeler;21;zeler;Zelenina a ovocie;16;existujuci
cornstarch;kukuričný škrob;21;kukuričn;Cestoviny a ryža;357;existujuci
cilantro;koriandrová vňať;20;koriandrová vňať;Korenie a bylinky;23;existujuci
vegetable stock;zeleninový vývar;20;vývar;Ostatné;4;existujuci
onions;cibuľa;20;cibuľa;Zelenina a ovocie;40;existujuci
bread;chlieb;19;chlieb;Pečivo;250;existujuci
sour cream;kyslá smotana;19;smotana;Mliečne a vajcia;250;existujuci
nutmeg;muškátový oriešok;19;muškátový oriešok;Korenie a bylinky;525;existujuci
allspice;nové korenie;18;korenie;Korenie a bylinky;0;existujuci
mayonnaise;majonéza;18;majonéza;Omáčky a dochucovadlá;680;existujuci
breadcrumbs;strúhanka;18;strúhanka;Pečivo;380;existujuci
green chilli;chilli paprička;17;chilli paprička;Zelenina a ovocie;40;existujuci
chorizo;chorizo;17;chorizo;Mäso a ryby;450;existujuci
bay leaves;bobkový list;17;bobkový list;Korenie a bylinky;313;existujuci
chicken;kura;17;kura;Mäso a ryby;239;existujuci
chicken thighs;kuracie stehná;17;kuracie steh;Mäso a ryby;209;existujuci
tomatoes;paradajky;16;paradajk;Zelenina a ovocie;18;existujuci
ground beef;mleté hovädzie;16;hovädzie;Mäso a ryby;250;existujuci
extra virgin olive oil;olivový olej;16;olivový olej;Oleje a tuky;884;existujuci
cayenne pepper;kajenské korenie;16;kajenské korenie;Trvanlivé a konzervy;318;existujuci
sesame seed oil;sezamový olej;16;sezamový olej;Oleje a tuky;884;NOVY
mushrooms;šampiňóny;15;šampiňóny;Zelenina a ovocie;22;existujuci
greek yogurt;grécky jogurt;15;grécky jogurt;Mliečne a vajcia;97;existujuci
cabbage;kapusta;15;kapusta;Zelenina a ovocie;25;existujuci
scallions;jarná cibuľka;15;jarná cibuľka;Zelenina a ovocie;32;existujuci
green pepper;zelená paprika;15;paprika;Zelenina a ovocie;31;existujuci
cardamom;kardamóm;15;kardamóm;Korenie a bylinky;311;existujuci
mustard;horčica;15;horčica;Omáčky a dochucovadlá;66;existujuci
ground cinnamon;mletá škorica;14;mletá škorica;Korenie a bylinky;247;existujuci
cherry tomatoes;cherry paradajky;14;paradajk;Zelenina a ovocie;18;existujuci
rosemary;rozmarín;14;rozmarín;Korenie a bylinky;131;existujuci
shallots;šalotka;14;šalotk;Zelenina a ovocie;72;existujuci
basil;bazalka;14;bazalka;Korenie a bylinky;23;existujuci
pork;bravčové;13;bravčov;Mäso a ryby;242;existujuci
egg yolks;žĺtky;13;žĺtk;Mliečne a vajcia;322;existujuci
leek;pór;13;pór;Zelenina a ovocie;61;existujuci
honey;med;13;med;Pečenie a sladké;304;existujuci
icing sugar;práškový cukor;12;cukor;Pečenie a sladké;400;existujuci
turmeric;kurkuma;12;kurkuma;Korenie a bylinky;354;existujuci
melted butter;maslo;11;maslo;Mliečne a vajcia;717;existujuci
white wine vinegar;vínny ocot;11;ocot;Omáčky a dochucovadlá;20;existujuci
aubergine;baklažán;11;baklažán;Zelenina a ovocie;25;existujuci
feta;feta;11;feta;Mliečne a vajcia;264;existujuci
mozzarella;mozzarella;11;mozzarella;Mliečne a vajcia;280;existujuci
raisins;hrozienka;11;hrozien;Zelenina a ovocie;299;existujuci
rice vinegar;ryžový ocot;11;ocot;Omáčky a dochucovadlá;20;existujuci
red wine vinegar;vínny ocot;11;ocot;Omáčky a dochucovadlá;20;existujuci
lettuce;šalát;10;šalát;Zelenina a ovocie;15;existujuci
oregano;oregano;10;oregano;Korenie a bylinky;265;existujuci
dried oregano;oregano;10;oregano;Korenie a bylinky;265;existujuci
corn flour;kukuričný škrob;10;kukuričn;Cestoviny a ryža;357;existujuci
kosher salt;soľ;10;soľ;Korenie a bylinky;0;existujuci
dill;kôpor;10;kôpor;Korenie a bylinky;43;existujuci
minced beef;mleté hovädzie;10;hovädzie;Mäso a ryby;250;existujuci
chicken breast;kuracie prsia;10;kuracie prsia;Mäso a ryby;165;existujuci
sesame seed;sezamové semienka;10;sezamové semien;Orechy a semená;573;existujuci
parmesan;parmezán;10;parmezán;Mliečne a vajcia;400;existujuci
almonds;mandle;10;mandle;Orechy a semená;579;existujuci
sausages;klobása;9;klobás;Mäso a ryby;300;existujuci
chicken breasts;kuracie prsia;9;kuracie prsia;Mäso a ryby;165;existujuci
tinned tomatos;paradajky v konzerve;9;paradajky v konzerve;Trvanlivé a konzervy;20;NOVY
avocado;avokádo;9;avokádo;Zelenina a ovocie;160;existujuci
rice noodles;ryžové rezance;9;rezance;Cestoviny a ryža;370;existujuci
green beans;fazuľové struky;9;fazuľov;Zelenina a ovocie;30;existujuci
garlic powder;cesnakový prášok;9;cesnakový prášok;Trvanlivé a konzervy;331;existujuci
sweetcorn;kukurica;9;kukurica;Zelenina a ovocie;86;existujuci
chopped tomatoes;paradajky v konzerve;9;paradajky v konzerve;Trvanlivé a konzervy;20;NOVY
pumpkin;tekvica;8;tekvica;Zelenina a ovocie;26;NOVY
egg plants;baklažán;8;baklažán;Zelenina a ovocie;25;existujuci
cream cheese;smotanový syr;8;smotanový syr;Mliečne a vajcia;250;existujuci
hotsauce;chilli omáčka;8;chilli omáčka;Omáčky a dochucovadlá;240;existujuci
cheese;syr;8;syr;Mliečne a vajcia;350;existujuci
plum tomatoes;paradajky v konzerve;8;paradajky v konzerve;Trvanlivé a konzervy;20;NOVY
chilli powder;chilli prášok;8;chilli prášok;Korenie a bylinky;282;existujuci
vinegar;ocot;8;ocot;Omáčky a dochucovadlá;20;existujuci
prawns;krevety;8;krevet;Mäso a ryby;99;existujuci
tomato sauce;paradajková omáčka;8;paradajková omáčka;Omáčky a dochucovadlá;32;NOVY
worcestershire sauce;worcester;8;worcester;Omáčky a dochucovadlá;78;existujuci
sea salt;soľ;8;soľ;Korenie a bylinky;0;existujuci
egg white;bielok;8;bielok;Mliečne a vajcia;52;existujuci
chilli;čili;8;čili;Zelenina a ovocie;40;existujuci
white wine;víno;8;víno;Nápoje;85;existujuci
peas;hrášok;8;hrášok;Mrazené;81;existujuci
ground ginger;mletý zázvor;8;mletý zázvor;Korenie a bylinky;335;existujuci
orange;pomaranč;8;pomaranč;Zelenina a ovocie;47;existujuci
thai red curry paste;kari pasta;8;kari pasta;Omáčky a dochucovadlá;100;existujuci
spinach;špenát;8;špenát;Zelenina a ovocie;23;existujuci
vanilla;vanilka;8;vanilka;Trvanlivé a konzervy;288;existujuci
basil leaves;bazalkové listy;7;bazalkové listy;Korenie a bylinky;23;existujuci
black beans;čierna fazuľa;7;fazuľa;Trvanlivé a konzervy;110;existujuci
walnuts;vlašské orechy;7;vlašské orechy;Orechy a semená;654;existujuci
cumin seeds;rasca;7;rasca;Korenie a bylinky;375;existujuci
tomato ketchup;kečup;7;kečup;Omáčky a dochucovadlá;100;existujuci
chilli flakes;čili vločky;7;čili vločky;Korenie a bylinky;318;existujuci
black olives;čierne olivy;7;olivy;Trvanlivé a konzervy;145;existujuci
peanut butter;arašidové maslo;7;arašidové maslo;Pečenie a sladké;588;existujuci
red wine;víno;7;víno;Nápoje;85;existujuci
basmati rice;ryža;7;ryža;Cestoviny a ryža;360;existujuci
