id;nazov;kategoria;kuchyna_teraz;kuchyna_navrh;istota;signaly
155-belmont;155 Belmont;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
3-mile-long-island-iced-tea;3-Mile Long Island Iced Tea;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
a-midsummernight-dream;A midsummernight dream;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
abbey-cocktail;Abbey Cocktail;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
abbey-martini;Abbey Martini;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
acai-bowl;Acai bowl;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
adam-sunrise;Adam Sunrise;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
addington;Addington;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
addison-special;Addison Special;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
afterglow;Afterglow;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
alice-cocktail;Alice Cocktail;Nápoj;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana]
ananasova-smoothie-bowl;Ananásová smoothie bowl;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
ananasovy-kolac;Ananásový koláč;Dezert;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
avokadova-natierka;Avokádová nátierka;Nátierka;Medzinárodná;Medzinárodná;nízka;Blízkovýchodná=4 [tahini] | 2. Mexická=3
avokadova-pena;Avokádová pena;Dezert;Medzinárodná;Medzinárodná;nízka;Mexická=3 [avokado]
avokadove-brownies;Avokádové brownies;Dezert;Medzinárodná;Medzinárodná;nízka;Americká=4 [brownie] | 2. Mexická=3
avokadovo-cicerova-natierka;Avokádovo-cícerová nátierka;Nátierka;Medzinárodná;Medzinárodná;nízka;Indická=3 [cicer] | 2. Mexická=3
avokadovo-tuniakove-zapecene-hrianky;Avokádovo-tuniakové zapečené hrianky;Raňajky;Medzinárodná;Medzinárodná;nízka;Talianska=4 [mozzarell, olivovy olej] | 2. Mexická=3
babovka-s-cicerom;Bábovka s cícerom;Dezert;Medzinárodná;Medzinárodná;nízka;Indická=3 [cicer] | 2. Blízkovýchodná=3
bageta-ostiepok;Bageta s oštiepkom a paradajkami;Raňajky;(prázdna);Medzinárodná;nízka;Talianska=1 [olivovy olej]
bageta-udena-sunka-gouda;Bageta s údenou šunkou a goudou;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
banana-strawberry-shake;Banana Strawberry Shake;Nápoj;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
bananky-v-cokolade;Banánky v čokoláde;Snack;Medzinárodná;Medzinárodná;nízka;Americká=3 [arasidove maslo] | 2. Britská=3
bananove-lievance;Banánové lievance;Raňajky;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
bananove-muffiny;Banánové muffiny;Dezert;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
bananovo-jablecne-kosicky-s-quinoou;Banánovo-jablčné košíčky s quinoou;Dezert;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
bananovo-melonove-smoothie;Banánovo-melónové smoothie;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
bananovy-kolac;Banánový koláč;Dezert;Medzinárodná;Medzinárodná;nízka;Talianska=3 [ricotta] | 2. Slovenská=3
batatove-chipsy-s-avokadovym-dipom;Batátové chipsy s avokádovým dipom;Snack;Medzinárodná;Medzinárodná;nízka;Mexická=3 [avokado] | 2. Turecká=3
batatove-placky-s-pecenymi-jablkami-so-skoricou;Batátové placky s pečenými jablkami so škoricou;Raňajky;Medzinárodná;Medzinárodná;nízka;Slovenská=2 [zemiak]
bazalkova-limonada;Bazalková limonáda;Nápoj;Medzinárodná;Medzinárodná;nízka;Turecká=3 [mata] | 2. Talianska=2
between-the-sheets;Between The Sheets;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
bielkovinove-palacinky;Bielkovinové palacinky;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
blue-margarita;Blue Margarita;Kokteil;Medzinárodná;Medzinárodná;nízka;Mexická=2 [limetk] | 2. Ázijská=1
bravcova-panenka-paprika;Bravčová panenka na paprike s ryžou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Španielska=3 [udena paprika] | 2. Francúzska=2
brokolicova-kremova-polievka;Brokolicová krémová polievka;Polievka;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana] | 2. Slovenská=2
brokolicova-polievka-so-zelerom;Brokolicová polievka so zelerom;Polievka;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
brokolicove-muffiny;Brokolicové muffiny;Snack;Medzinárodná;Talianska;stredná;Talianska=4 [mozzarell, olivovy olej]
brokolicovy-salat-jablko;Brokolicový salát s jablkom;Šalát;Medzinárodná;Medzinárodná;nízka;Americká=3 [arasidove maslo] | 2. Talianska=1
broskvova-galette;Broskyňová galette;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
broskynove-smoothie;Broskyňové smoothie;Nápoj;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
broskynovy-kolac;Broskyňový koláč;Dezert;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana]
brownies-vafle;Brownies vafle;Raňajky;Medzinárodná;Americká;stredná;Americká=4 [brownie]
bylinkovo-cesnakova-natierka-na-chlieb;Bylinkovo-cesnaková nátierka na chlieb;Nátierka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
cappuccino-mliecna-ryza;Cappuccino mliečna ryža;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
casino;Casino;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
celozrnne-krekry;Celozrnné krekry;Snack;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [mak] | 2. Talianska=1
celozrnne-palacinky-s-bananom;Celozrnné palacinky s banánom;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
celozrnne-piskoty;Celozrnné piškóty;Dezert;Medzinárodná;Medzinárodná;nízka;Talianska=3 [tiramis]
celozrnne-taskicky-so-spenatom;Celozrnné taštičky so špenátom;Snack;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
celozrnne-tortilly;Celozrnné tortilly;Príloha;Medzinárodná;Mexická;stredná;Mexická=4 [tortill]
celozrnne-vlockove-zemle;Celozrnné vločkové žemličky;Pečivo;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
cesnakove-rozky-s-bylinkovym-maslom;Cesnakové rožky s bylinkovým maslom;Pečivo;Medzinárodná;Medzinárodná;ponechať;žiadny signál
cesnakovo-syrovy-chlieb-na-panvici;Cesnakovo-syrový chlieb na panvici;Pečivo;Medzinárodná;Medzinárodná;ponechať;žiadny signál
cestovinovy-salat;Cestovinový šalát;Šalát;Medzinárodná;Medzinárodná;nízka;Indická=3 [cicer] | 2. Blízkovýchodná=3
cestoviny-s-cviklovou-omackou;Cestoviny s cviklovou omáčkou;Cestoviny;Medzinárodná;Medzinárodná;nízka;Talianska=4 [cestovin, oregano] | 2. Grécka=3
chia-puding-s-mangovym-pyre;Chia puding s mangovým pyré;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
chia-puding-s-ovocim;Chia puding s ovocím;Raňajky;Medzinárodná;Medzinárodná;nízka;Turecká=3 [mata] | 2. Ázijská=2
chicken-bowl;Chicken bowl;Hlavné jedlo;Medzinárodná;Mexická;stredná;Mexická=5 [avokado, limetk] | 2. Indická=3
chipsy-z-cervenej-repy;Chipsy z červenej repy;Snack;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
chlieb-so-semienkami;Chlieb so semienkami;Pečivo;Medzinárodná;Medzinárodná;ponechať;žiadny signál
chlieb-so-sunkou-a-uhorkou;Chlieb so šunkou a uhorkou;Raňajky;(prázdna);Medzinárodná;nízka;Grécka=2 [uhork]
chlieb-so-syrom-a-paradajkou;Chlieb so syrom a paradajkou;Raňajky;(prázdna);Medzinárodná;nízka;Talianska=1 [olivovy olej]
chrumkave-kusky-z-bocika;Chrumkavé kúsky z bôčika;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
chrumkave-zemiakove-vrecka;Chrumkavé zemiakové vrecká;Snack;Medzinárodná;Talianska;vysoká;Talianska=6 [parmez, mozzarell] | 2. Mexická=2
cicerova-natierka;Cícerová nátierka;Nátierka;Medzinárodná;Medzinárodná;nízka;Indická=3 [cicer] | 2. Blízkovýchodná=3
cicerova-omacka-s-quinoou;Cícerová omáčka s quinoou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Indická=3 [cicer] | 2. Blízkovýchodná=3
cicerova-placka-s-cucoriedkami;Cícerová placka s čučoriedkami;Dezert;Medzinárodná;Medzinárodná;nízka;Indická=3 [cicer] | 2. Blízkovýchodná=3
citronovy-kolac;Citrónový koláč;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
citronovy-napoj-so-zazvorovou-limonadou;Citrónový nápoj so zázvorovou limonádou;Nápoj;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [zazvor]
clover-club;Clover Club;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
cokoladove-muffiny-s-polevou;Čokoládové muffiny s polevou;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
