id;nazov_teraz;kategoria;kanonicke_jedlo;zdroj;zdroj_url;porcie;kcal_na_porciu;stav_url;ako_dohladat
baklazanove-lasagne;Baklažánové lasagne;Hlavné jedlo;Classic lasagne;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-lasagne/;6;580;overené;
bananove-brownies-bez-muky-s-jahodovym-kremom;Banánové brownies bez múky s jahodovým krémom;Dezert;Chocolate Raspberry Brownies;TheMealDB;https://www.themealdb.com/meal/52860;;;overené (API);
bananove-palacinkove-kusky;Banánové palacinkové kúsky (mini pancake bites);Snack;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
bananove-palacinky-lievance;Banánové palacinky - lievance;Snack;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
bananovo-arasidove-smoothie;Banánovo-arašidové smoothie;Nápoj;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
bezlepkove-tvarohove-omeletky-s-ovocim;Bezlepkové tvarohové omeletky s ovocím;Dezert;French Omelette;TheMealDB;https://www.themealdb.com/meal/52915;;;overené (API);
bielkovinove-palacinky;Bielkovinové palacinky;Raňajky;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
bravcova-panenka-na-ratatouille-so-zemiakmi;Bravčová panenka na ratatouille so zemiakmi;Hlavné jedlo;Ratatouille;TheMealDB;https://www.themealdb.com/meal/52908;;;overené (API);
brokolicovy-kuskus-s-pecenou-zeleninou-a-kozim-syrom;Brokolicový „kuskus“ s pečenou zeleninou a kozím syrom;Šalát;Couscous salad;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/couscous-salad/;4;460;overené;
broskynove-smoothie;Broskyňové smoothie;Nápoj;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
brownies-bez-vajec;Brownies bez vajec;Dezert;Chocolate Raspberry Brownies;TheMealDB;https://www.themealdb.com/meal/52860;;;overené (API);
bruschetta-s-vajcom;Bruschetta s vajcom;Raňajky;Bruschetta;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com bruschetta recipe
caesar-salat-s-opecenym-kuracim-steakom;Caesar šalát s opečeným kuracím steakom;Šalát;Caesar Salad;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com caesar salad recipe
celozrnne-palacinky-s-bananom;Celozrnné palacinky s banánom;Raňajky;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
celozrnny-toast-s-hummusom-a-zeleninou;Celozrnný toast s hummusom a zeleninou;Raňajky;Hummus;TheMealDB;https://www.themealdb.com/meal/53269;;;overené (API);
cestovinovy-salat-pesto-cherry;Cestovinový šalát s pestom a cherry paradajkami;Cestoviny;Classic pesto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-pesto/;;;overené (kcal na stránke chýba);
cestoviny-pesto-genovese;Cestoviny s pestom genovese;Cestoviny;Classic pesto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-pesto/;;;overené (kcal na stránke chýba);
cezar-salat-s-krevetami;Cézar šalát s krevetami;Šalát;Caesar Salad;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com caesar salad recipe
cheesecake-s-proteinom;Cheesecake s proteínom;Snack;New York Cheesecake;TheMealDB;https://www.themealdb.com/meal/52858;;;overené (API);
chutne-pizza-cestoviny;Chutné pizza cestoviny;Hlavné jedlo;Pizza Express Margherita;TheMealDB;https://www.themealdb.com/meal/53014;;;overené (API);
ciccerove-kari-vegetarianske;Cícerové kari (vegetariánske);Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
cierno-biele-vanilkovo-cokoladove-mnamky-muffiny;Čierno-biele vanilkovo-čokoládové mňamky muffiny;Raňajky;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
citronovy-cheesecake-bez-pecenia;Citrónový cheesecake bez pečenia;Dezert;New York Cheesecake;TheMealDB;https://www.themealdb.com/meal/52858;;;overené (API);
cokoladove-brownies;Čokoládové brownies;Dezert;Chocolate Raspberry Brownies;TheMealDB;https://www.themealdb.com/meal/52860;;;overené (API);
cokoladovo-vanilkove-muffiny;Čokoládovo-vanilkové muffiny;Raňajky;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
cucoriedkove-muffiny;Čučoriedkové muffiny;Snack;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
cuketova-omeleta;Cuketová omeleta;Raňajky;French Omelette;TheMealDB;https://www.themealdb.com/meal/52915;;;overené (API);
cuketove-lasagne;Cuketové lasagne;Hlavné jedlo;Classic lasagne;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-lasagne/;6;580;overené;
domace-maslove-croissanty;Domáce maslové croissanty;Raňajky;Croissants;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com croissant recipe
domace-tortilly;Domáce tortilly;Pečivo;Flour Tortillas;Wikibooks Cookbook;;;;dohľadať;bbcgoodfoodme.com flour tortilla recipe
falafel-z-fazule-mungo-na-chlebovej-placke;Falafel z fazule mungo na chlebovej placke;Hlavné jedlo;Falafel;TheMealDB;https://www.themealdb.com/meal/53266;;;overené (API);
fettucine-alla-carbonara;Fettucine alla Carbonara;Cestoviny;Spaghetti alla Carbonara;TheMealDB;https://www.themealdb.com/meal/52982;;;overené (API);
focaccia-s-rozmarinom;Focaccia s rozmarínom a morskou soľou;Pečivo;Focaccia;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com focaccia recipe
